Invoice_Date,Merchant,Store_Number,Cost,Credit,Invoice_Number
02/12/2018,Baker's,302,85.2,,583042
02/12/2018,Walmart Supercenter,4358,,-10.5,583043
02/12/2018,Walmart Supercenter,4358,270.0,,583044
02/12/2018,Walmart Supercenter,3267,219.0,,583045
02/12/2018,Baker's,300,13.5,,583046
02/12/2018,Family Fare,3784,57.6,,583047
02/12/2018,Walmart Neighborhood Market,3153,154.8,,583048
02/12/2018,Baker's,323,47.4,,583049
02/12/2018,Fareway,43,135.0,,583050
02/12/2018,HyVee,1185,,-12.6,583051
02/12/2018,Walmart Neighborhood Market,3154,206.4,,583052
02/12/2018,HyVee,1185,107.4,,583053
02/12/2018,Baker's,320,74.4,,583054
02/12/2018,Walmart Supercenter,2847,,-3.8,583055
02/12/2018,Walmart Supercenter,1671,335.1,,583056
02/12/2018,Walmart Supercenter,2847,335.1,,583057
02/12/2018,Walmart Supercenter,2847,,-3.8,583058
02/12/2018,Family Fare,3811,184.8,,583059
02/12/2018,Family Fare,3792,156.6,,583060
02/12/2018,HyVee,1478,265.8,,583061
02/12/2018,HyVee,1478,,-5.65,583062
02/12/2018,Walmart Supercenter,4568,168.6,,583063
02/12/2018,HyVee,1472,349.8,,583064
02/12/2018,HyVee,1514,,-43.5,583065
02/12/2018,HyVee,1514,287.7,,583066
02/13/2018,Walmart Supercenter,3823,165.6,,583068
02/13/2018,Baker's,321,52.2,,583069
02/13/2018,HyVee,1386,221.58,,583070
02/13/2018,HyVee,1474,124.8,,583071
02/13/2018,HyVee,1474,,-2.1,583072
02/13/2018,Walmart Supercenter,5141,282.0,,583073
02/13/2018,Russ's,1,180.9,,583074
02/13/2018,Russ's,1,,-13.7,583075
02/13/2018,Walmart Supercenter,3150,200.4,,583076
02/13/2018,Baker's,315,121.8,,583077
02/13/2018,Walmart Neighborhood Market,4138,145.2,,583078
02/13/2018,Russ's,14,,-18.0,583079
02/13/2018,Russ's,14,110.95,,583080
02/13/2018,HyVee,1092,276.9,,583081
02/13/2018,Family Fare,3785,137.4,,583082
02/13/2018,Walmart Supercenter,1943,249.0,,583083
02/13/2018,Super Saver,12,148.2,,583084
02/13/2018,Walmart Supercenter,1637,376.08,,583085
02/13/2018,HyVee,1387,82.8,,583086
02/13/2018,HyVee,1101,240.6,,583087
02/13/2018,HyVee,1390,50.4,,583088
02/13/2018,HyVee,1471,186.9,,583089
02/13/2018,Walmart Supercenter,3278,94.8,,583090
02/13/2018,Walmart Supercenter,3278,,-11.6,583091
02/13/2018,Walmart Supercenter,1965,234.1,,583092
02/13/2018,HyVee,1388,108.0,,583093
02/14/2018,Walmart Supercenter,3267,165.6,,583094
02/14/2018,Walmart Supercenter,5361,239.1,,583095
02/14/2018,HyVee,1472,272.1,,583096
02/14/2018,Walmart Supercenter,4600,170.4,,583097
02/14/2018,Walmart Neighborhood Market,3172,,-6.3,583098
02/14/2018,Walmart Neighborhood Market,3172,124.8,,583099
02/14/2018,Fareway,103,,-4.2,583101
02/14/2018,Fareway,103,92.4,,583102
02/14/2018,Walmart Supercenter,3151,160.8,,583104
02/14/2018,Phil's Foodway,1,120.6,,583106
02/14/2018,Walmart Neighborhood Market,3173,,-3.15,583107
02/14/2018,Walmart Neighborhood Market,3173,312.0,,583108
02/14/2018,Cubby's,3,98.7,,583112
Total,,,9001.31,-138.9
